_id,Quarter,QuarterQF,HB,HBQF,Location,LocationQF,Specialty,SpecialtyQF,SpecialtyName,SpecialtyNameQF,AllStaffedBeddays,AllStaffedBeddaysQF,TotalOccupiedBeddays,TotalOccupiedBeddaysQF,AverageAvailableStaffedBeds,AverageAvailableStaffedBedsQF,AverageOccupiedBeds,AverageOccupiedBedsQF,PercentageOccupancy,PercentageOccupancyQF
1,2016Q4,"",SB0801,"",D102H,"", ,z,All Acute,d,16117,"",12049,"",175.18478260869568,"",130.9673913043478,"",74.75957063969722,""
2,2016Q4,"",SB0801,"",SB0801,d, ,z,All Acute,d,16117,"",12049,"",175.18478260869568,"",130.9673913043478,"",74.75957063969722,""
3,2017Q1,"",SB0801,"",D102H,"", ,z,All Acute,d,15622,"",11569,"",173.5777777777778,"",128.54444444444445,"",74.05581871719372,""
4,2017Q1,"",SB0801,"",SB0801,d, ,z,All Acute,d,15622,"",11569,"",173.5777777777778,"",128.54444444444445,"",74.05581871719372,""
5,2017Q2,"",SB0801,"",D102H,"", ,z,All Acute,d,15604,"",11614,"",171.4725274725275,"",127.62637362637363,"",74.42963342732634,""
6,2017Q2,"",SB0801,"",SB0801,d, ,z,All Acute,d,15604,"",11614,"",171.4725274725275,"",127.62637362637363,"",74.42963342732634,""
7,2017Q3,"",SB0801,"",D102H,"", ,z,All Acute,d,15426,"",11658,"",167.67391304347828,"",126.71739130434786,"",75.57370672889928,""
8,2017Q3,"",SB0801,"",SB0801,d, ,z,All Acute,d,15426,"",11658,"",167.67391304347828,"",126.71739130434786,"",75.57370672889928,""
9,2017Q4,"",SB0801,"",D102H,"", ,z,All Acute,d,16159,"",12434,"",175.64130434782612,"",135.1521739130435,"",76.94783093013183,""
10,2017Q4,"",SB0801,"",SB0801,d, ,z,All Acute,d,16159,"",12434,"",175.64130434782612,"",135.1521739130435,"",76.94783093013183,""
11,2018Q1,"",SB0801,"",D102H,"", ,z,All Acute,d,15681,"",11871,"",174.23333333333335,"",131.9,"",75.70308016070406,""
12,2018Q1,"",SB0801,"",SB0801,d, ,z,All Acute,d,15681,"",11871,"",174.23333333333335,"",131.9,"",75.70308016070406,""
