WeekEnding,Country,SIMDQuintile,Deaths,Average20152019,PercentVariation
20200105,S92000003,1,280,298.8,-6.3
20200105,S92000003,2,251,286.4,-12.4
20200105,S92000003,3,263,271,-3
20200105,S92000003,4,204,221,-7.7
20200105,S92000003,5,159,192.6,-17.4
20200112,S92000003,1,380,386.4,-1.7
20200112,S92000003,2,353,362.6,-2.6
20200112,S92000003,3,340,320.2,6.2
20200112,S92000003,4,274,265.8,3.1
20200112,S92000003,5,212,217.8,-2.7
20200119,S92000003,1,307,352,-12.8
20200119,S92000003,2,299,307.2,-2.7
20200119,S92000003,3,273,278.6,-2
20200119,S92000003,4,248,239,3.8
20200119,S92000003,5,189,199.2,-5.1
20200126,S92000003,1,318,317.8,0.1
20200126,S92000003,2,261,295.2,-11.6
20200126,S92000003,3,251,271.8,-7.7
20200126,S92000003,4,213,229.8,-7.3
20200126,S92000003,5,179,197.4,-9.3
20200202,S92000003,1,269,306.8,-12.3
20200202,S92000003,2,280,283,-1.1
20200202,S92000003,3,254,269,-5.6
20200202,S92000003,4,190,226.4,-16.1
20200202,S92000003,5,192,190.4,0.8
20200209,S92000003,1,290,311.4,-6.9
20200209,S92000003,2,275,281.4,-2.3
20200209,S92000003,3,239,257.6,-7.2
20200209,S92000003,4,224,207.2,8.1
20200209,S92000003,5,185,192.8,-4
20200216,S92000003,1,259,302.4,-14.4
20200216,S92000003,2,275,282.8,-2.8
20200216,S92000003,3,248,268.2,-7.5
20200216,S92000003,4,198,220.2,-10.1
20200216,S92000003,5,180,181.8,-1
20200223,S92000003,1,290,300.8,-3.6
20200223,S92000003,2,253,283.2,-10.7
20200223,S92000003,3,229,247.4,-7.4
20200223,S92000003,4,207,223.8,-7.5
20200223,S92000003,5,181,185.4,-2.4
20200301,S92000003,1,263,273.8,-3.9
20200301,S92000003,2,257,259.2,-0.8
20200301,S92000003,3,252,245.8,2.5
20200301,S92000003,4,186,202.2,-8
20200301,S92000003,5,207,180.2,14.9
