WeekEnding,HSCP,AgeGroup,AgeGroupQF,Sex,SexQF,Deaths,Average20152019,PercentVariation,PercentVariationQF
20200105,S37000001,Under 65,"",All,d,4,8.6,-53.5,""
20200105,S37000001,65 and over,"",All,d,33,35.4,-6.8,""
20200105,S37000001,All ages,d,All,d,37,44,-15.9,""
20200105,S37000001,All ages,d,Female,"",19,23,-17.4,""
20200105,S37000001,All ages,d,Male,"",18,21,-14.3,""
20200105,S37000002,Under 65,"",All,d,12,7.2,66.7,""
20200105,S37000002,65 and over,"",All,d,36,50.4,-28.6,""
20200105,S37000002,All ages,d,All,d,48,57.6,-16.7,""
20200105,S37000002,All ages,d,Female,"",28,31.6,-11.4,""
20200105,S37000002,All ages,d,Male,"",20,26,-23.1,""
20200105,S37000003,Under 65,"",All,d,3,6,-50,""
20200105,S37000003,65 and over,"",All,d,23,26.6,-13.5,""
20200105,S37000003,All ages,d,All,d,26,32.6,-20.2,""
20200105,S37000003,All ages,d,Female,"",12,16,-25,""
20200105,S37000003,All ages,d,Male,"",14,16.6,-15.7,""
20200105,S37000004,Under 65,"",All,d,3,3.2,-6.3,""
20200105,S37000004,65 and over,"",All,d,13,19.4,-33,""
20200105,S37000004,All ages,d,All,d,16,22.6,-29.2,""
20200105,S37000004,All ages,d,Female,"",7,11,-36.4,""
20200105,S37000004,All ages,d,Male,"",9,11.6,-22.4,""
20200105,S37000005,Under 65,"",All,d,6,3.4,76.5,""
20200105,S37000005,65 and over,"",All,d,25,31.2,-19.9,""
20200105,S37000005,All ages,d,All,d,31,34.6,-10.4,""
20200105,S37000005,All ages,d,Female,"",13,18.6,-30.1,""
20200105,S37000005,All ages,d,Male,"",18,16,12.5,""
20200105,S37000006,Under 65,"",All,d,1,3.8,-73.7,""
20200105,S37000006,65 and over,"",All,d,36,37.8,-4.8,""
20200105,S37000006,All ages,d,All,d,37,41.6,-11.1,""
20200105,S37000006,All ages,d,Female,"",21,23,-8.7,""
20200105,S37000006,All ages,d,Male,"",16,18.6,-14,""
20200105,S37000007,Under 65,"",All,d,6,9,-33.3,""
20200105,S37000007,65 and over,"",All,d,29,34.6,-16.2,""
20200105,S37000007,All ages,d,All,d,35,43.6,-19.7,""
20200105,S37000007,All ages,d,Female,"",20,21.8,-8.3,""
20200105,S37000007,All ages,d,Male,"",15,21.8,-31.2,""
20200105,S37000008,Under 65,"",All,d,3,5.8,-48.3,""
20200105,S37000008,65 and over,"",All,d,22,28.6,-23.1,""
20200105,S37000008,All ages,d,All,d,25,34.4,-27.3,""
20200105,S37000008,All ages,d,Female,"",11,18,-38.9,""
20200105,S37000008,All ages,d,Male,"",14,16.4,-14.6,""
20200105,S37000009,Under 65,"",All,d,1,2,-50,""
