year_quarter,hb,location,specialty,specialty_name,all_staffed_beddays,total_occupied_beddays,average_available_staffed_beds,average_occupied_beds,percentage_occupancy,hb_name,country.x,shb_name,country.y
2016 Q4,SB0801,D102H,NA,All Acute,16117,12049,175.1847826,130.9673913,74.75957064,NA,NA,The Golden Jubilee National Hospital,S92000003
2016 Q4,SB0801,SB0801,NA,All Acute,16117,12049,175.1847826,130.9673913,74.75957064,NA,NA,The Golden Jubilee National Hospital,S92000003
2017 Q1,SB0801,D102H,NA,All Acute,15622,11569,173.5777778,128.5444444,74.05581872,NA,NA,The Golden Jubilee National Hospital,S92000003
2017 Q1,SB0801,SB0801,NA,All Acute,15622,11569,173.5777778,128.5444444,74.05581872,NA,NA,The Golden Jubilee National Hospital,S92000003
2017 Q2,SB0801,D102H,NA,All Acute,15604,11614,171.4725275,127.6263736,74.42963343,NA,NA,The Golden Jubilee National Hospital,S92000003
2017 Q2,SB0801,SB0801,NA,All Acute,15604,11614,171.4725275,127.6263736,74.42963343,NA,NA,The Golden Jubilee National Hospital,S92000003
2017 Q3,SB0801,D102H,NA,All Acute,15426,11658,167.673913,126.7173913,75.57370673,NA,NA,The Golden Jubilee National Hospital,S92000003
2017 Q3,SB0801,SB0801,NA,All Acute,15426,11658,167.673913,126.7173913,75.57370673,NA,NA,The Golden Jubilee National Hospital,S92000003
2017 Q4,SB0801,D102H,NA,All Acute,16159,12434,175.6413043,135.1521739,76.94783093,NA,NA,The Golden Jubilee National Hospital,S92000003
2017 Q4,SB0801,SB0801,NA,All Acute,16159,12434,175.6413043,135.1521739,76.94783093,NA,NA,The Golden Jubilee National Hospital,S92000003
2018 Q1,SB0801,D102H,NA,All Acute,15681,11871,174.2333333,131.9,75.70308016,NA,NA,The Golden Jubilee National Hospital,S92000003
2018 Q1,SB0801,SB0801,NA,All Acute,15681,11871,174.2333333,131.9,75.70308016,NA,NA,The Golden Jubilee National Hospital,S92000003
2018 Q2,SB0801,D102H,NA,All Acute,15817,12349,173.8131868,135.7032967,78.07422394,NA,NA,The Golden Jubilee National Hospital,S92000003
2018 Q2,SB0801,SB0801,NA,All Acute,15817,12349,173.8131868,135.7032967,78.07422394,NA,NA,The Golden Jubilee National Hospital,S92000003
2018 Q3,SB0801,D102H,NA,All Acute,15806,12390,171.8043478,134.673913,78.38795394,NA,NA,The Golden Jubilee National Hospital,S92000003
2018 Q3,SB0801,SB0801,NA,All Acute,15806,12390,171.8043478,134.673913,78.38795394,NA,NA,The Golden Jubilee National Hospital,S92000003
2018 Q4,SB0801,D102H,NA,All Acute,14852,11765,161.4347826,127.8804348,79.21492055,NA,NA,The Golden Jubilee National Hospital,S92000003
2018 Q4,SB0801,SB0801,NA,All Acute,14852,11765,161.4347826,127.8804348,79.21492055,NA,NA,The Golden Jubilee National Hospital,S92000003
2019 Q1,SB0801,D102H,NA,All Acute,14783,11654,164.2555556,129.4888889,78.83379558,NA,NA,The Golden Jubilee National Hospital,S92000003
2019 Q1,SB0801,SB0801,NA,All Acute,14783,11654,164.2555556,129.4888889,78.83379558,NA,NA,The Golden Jubilee National Hospital,S92000003
2019 Q2,SB0801,D102H,NA,All Acute,14929,11897,164.0549451,130.7362637,79.6905352,NA,NA,The Golden Jubilee National Hospital,S92000003
2019 Q2,SB0801,SB0801,NA,All Acute,14929,11897,164.0549451,130.7362637,79.6905352,NA,NA,The Golden Jubilee National Hospital,S92000003
2019 Q3,SB0801,D102H,NA,All Acute,15392,12067,167.3043478,131.1630435,78.39786902,NA,NA,The Golden Jubilee National Hospital,S92000003
2019 Q3,SB0801,SB0801,NA,All Acute,15392,12067,167.3043478,131.1630435,78.39786902,NA,NA,The Golden Jubilee National Hospital,S92000003
2019 Q4,SB0801,D102H,NA,All Acute,15603,11659,169.5978261,126.7282609,74.72280972,NA,NA,The Golden Jubilee National Hospital,S92000003
2019 Q4,SB0801,SB0801,NA,All Acute,15603,11659,169.5978261,126.7282609,74.72280972,NA,NA,The Golden Jubilee National Hospital,S92000003
2020 Q1,SB0801,D102H,NA,All Acute,14896,10915,163.6923077,119.9450549,73.27470462,NA,NA,The Golden Jubilee National Hospital,S92000003
2020 Q1,SB0801,SB0801,NA,All Acute,14896,10915,163.6923077,119.9450549,73.27470462,NA,NA,The Golden Jubilee National Hospital,S92000003
2020 Q2,SB0801,D102H,NA,All Acute,14366,8101,157.8681319,89.02197802,56.39008771,NA,NA,The Golden Jubilee National Hospital,S92000003
2020 Q2,SB0801,SB0801,NA,All Acute,14366,8101,157.8681319,89.02197802,56.39008771,NA,NA,The Golden Jubilee National Hospital,S92000003
2020 Q3,SB0801,D102H,NA,All Acute,15442,9934,167.8478261,107.9782609,64.3310452,NA,NA,The Golden Jubilee National Hospital,S92000003
2020 Q3,SB0801,SB0801,NA,All Acute,15442,9934,167.8478261,107.9782609,64.3310452,NA,NA,The Golden Jubilee National Hospital,S92000003
2020 Q4,SB0801,D102H,NA,All Acute,15665,11164,170.2717391,121.3478261,71.26715608,NA,NA,The Golden Jubilee National Hospital,S92000003
2020 Q4,SB0801,SB0801,NA,All Acute,15665,11164,170.2717391,121.3478261,71.26715608,NA,NA,The Golden Jubilee National Hospital,S92000003
2021 Q1,SB0801,D102H,NA,All Acute,16547,12060,183.8555556,134,72.88330211,NA,NA,The Golden Jubilee National Hospital,S92000003
2021 Q1,SB0801,SB0801,NA,All Acute,16547,12060,183.8555556,134,72.88330211,NA,NA,The Golden Jubilee National Hospital,S92000003
2021 Q2,SB0801,D102H,NA,All Acute,16159,12269,177.5714286,134.8241758,75.92672814,NA,NA,The Golden Jubilee National Hospital,S92000003
2021 Q2,SB0801,SB0801,NA,All Acute,16159,12269,177.5714286,134.8241758,75.92672814,NA,NA,The Golden Jubilee National Hospital,S92000003
2021 Q3,SB0801,D102H,NA,All Acute,16897,12029,183.6630435,130.75,71.1901521,NA,NA,The Golden Jubilee National Hospital,S92000003
2021 Q3,SB0801,SB0801,NA,All Acute,16897,12029,183.6630435,130.75,71.1901521,NA,NA,The Golden Jubilee National Hospital,S92000003
2021 Q4,SB0801,D102H,NA,All Acute,17794,12613,193.4130435,137.0978261,70.88344386,NA,NA,The Golden Jubilee National Hospital,S92000003
2021 Q4,SB0801,SB0801,NA,All Acute,17794,12613,193.4130435,137.0978261,70.88344386,NA,NA,The Golden Jubilee National Hospital,S92000003
2016 Q4,SB0801,D102H,Z9,All Specialties,16117,12049,175.1847826,130.9673913,74.75957064,NA,NA,The Golden Jubilee National Hospital,S92000003
2016 Q4,SB0801,SB0801,Z9,All Specialties,16117,12049,175.1847826,130.9673913,74.75957064,NA,NA,The Golden Jubilee National Hospital,S92000003
2017 Q1,SB0801,D102H,Z9,All Specialties,15622,11569,173.5777778,128.5444444,74.05581872,NA,NA,The Golden Jubilee National Hospital,S92000003
2017 Q1,SB0801,SB0801,Z9,All Specialties,15622,11569,173.5777778,128.5444444,74.05581872,NA,NA,The Golden Jubilee National Hospital,S92000003
2017 Q2,SB0801,D102H,Z9,All Specialties,15604,11614,171.4725275,127.6263736,74.42963343,NA,NA,The Golden Jubilee National Hospital,S92000003
2017 Q2,SB0801,SB0801,Z9,All Specialties,15604,11614,171.4725275,127.6263736,74.42963343,NA,NA,The Golden Jubilee National Hospital,S92000003
2017 Q3,SB0801,D102H,Z9,All Specialties,15426,11658,167.673913,126.7173913,75.57370673,NA,NA,The Golden Jubilee National Hospital,S92000003
2017 Q3,SB0801,SB0801,Z9,All Specialties,15426,11658,167.673913,126.7173913,75.57370673,NA,NA,The Golden Jubilee National Hospital,S92000003
2017 Q4,SB0801,D102H,Z9,All Specialties,16159,12434,175.6413043,135.1521739,76.94783093,NA,NA,The Golden Jubilee National Hospital,S92000003
2017 Q4,SB0801,SB0801,Z9,All Specialties,16159,12434,175.6413043,135.1521739,76.94783093,NA,NA,The Golden Jubilee National Hospital,S92000003
2018 Q1,SB0801,D102H,Z9,All Specialties,15681,11871,174.2333333,131.9,75.70308016,NA,NA,The Golden Jubilee National Hospital,S92000003
2018 Q1,SB0801,SB0801,Z9,All Specialties,15681,11871,174.2333333,131.9,75.70308016,NA,NA,The Golden Jubilee National Hospital,S92000003
2018 Q2,SB0801,D102H,Z9,All Specialties,15817,12349,173.8131868,135.7032967,78.07422394,NA,NA,The Golden Jubilee National Hospital,S92000003
2018 Q2,SB0801,SB0801,Z9,All Specialties,15817,12349,173.8131868,135.7032967,78.07422394,NA,NA,The Golden Jubilee National Hospital,S92000003
2018 Q3,SB0801,D102H,Z9,All Specialties,15806,12390,171.8043478,134.673913,78.38795394,NA,NA,The Golden Jubilee National Hospital,S92000003
2018 Q3,SB0801,SB0801,Z9,All Specialties,15806,12390,171.8043478,134.673913,78.38795394,NA,NA,The Golden Jubilee National Hospital,S92000003
2018 Q4,SB0801,D102H,Z9,All Specialties,14852,11765,161.4347826,127.8804348,79.21492055,NA,NA,The Golden Jubilee National Hospital,S92000003
2018 Q4,SB0801,SB0801,Z9,All Specialties,14852,11765,161.4347826,127.8804348,79.21492055,NA,NA,The Golden Jubilee National Hospital,S92000003
2019 Q1,SB0801,D102H,Z9,All Specialties,14783,11654,164.2555556,129.4888889,78.83379558,NA,NA,The Golden Jubilee National Hospital,S92000003
2019 Q1,SB0801,SB0801,Z9,All Specialties,14783,11654,164.2555556,129.4888889,78.83379558,NA,NA,The Golden Jubilee National Hospital,S92000003
2019 Q2,SB0801,D102H,Z9,All Specialties,14929,11897,164.0549451,130.7362637,79.6905352,NA,NA,The Golden Jubilee National Hospital,S92000003
2019 Q2,SB0801,SB0801,Z9,All Specialties,14929,11897,164.0549451,130.7362637,79.6905352,NA,NA,The Golden Jubilee National Hospital,S92000003
2019 Q3,SB0801,D102H,Z9,All Specialties,15392,12067,167.3043478,131.1630435,78.39786902,NA,NA,The Golden Jubilee National Hospital,S92000003
2019 Q3,SB0801,SB0801,Z9,All Specialties,15392,12067,167.3043478,131.1630435,78.39786902,NA,NA,The Golden Jubilee National Hospital,S92000003
2019 Q4,SB0801,D102H,Z9,All Specialties,15603,11659,169.5978261,126.7282609,74.72280972,NA,NA,The Golden Jubilee National Hospital,S92000003
2019 Q4,SB0801,SB0801,Z9,All Specialties,15603,11659,169.5978261,126.7282609,74.72280972,NA,NA,The Golden Jubilee National Hospital,S92000003
2020 Q1,SB0801,D102H,Z9,All Specialties,14896,10915,163.6923077,119.9450549,73.27470462,NA,NA,The Golden Jubilee National Hospital,S92000003
2020 Q1,SB0801,SB0801,Z9,All Specialties,14896,10915,163.6923077,119.9450549,73.27470462,NA,NA,The Golden Jubilee National Hospital,S92000003
2020 Q2,SB0801,D102H,Z9,All Specialties,14417,8152,158.4285714,89.58241758,56.54435736,NA,NA,The Golden Jubilee National Hospital,S92000003
2020 Q2,SB0801,SB0801,Z9,All Specialties,14417,8152,158.4285714,89.58241758,56.54435736,NA,NA,The Golden Jubilee National Hospital,S92000003
2020 Q3,SB0801,D102H,Z9,All Specialties,15524,10016,168.7391304,108.8695652,64.51945375,NA,NA,The Golden Jubilee National Hospital,S92000003
2020 Q3,SB0801,SB0801,Z9,All Specialties,15524,10016,168.7391304,108.8695652,64.51945375,NA,NA,The Golden Jubilee National Hospital,S92000003
2020 Q4,SB0801,D102H,Z9,All Specialties,15756,11255,171.2608696,122.3369565,71.43310485,NA,NA,The Golden Jubilee National Hospital,S92000003
2020 Q4,SB0801,SB0801,Z9,All Specialties,15756,11255,171.2608696,122.3369565,71.43310485,NA,NA,The Golden Jubilee National Hospital,S92000003
2021 Q1,SB0801,D102H,Z9,All Specialties,16637,12150,184.8555556,135,73.02999339,NA,NA,The Golden Jubilee National Hospital,S92000003
2021 Q1,SB0801,SB0801,Z9,All Specialties,16637,12150,184.8555556,135,73.02999339,NA,NA,The Golden Jubilee National Hospital,S92000003
2021 Q2,SB0801,D102H,Z9,All Specialties,16240,12350,178.4615385,135.7142857,76.04679803,NA,NA,The Golden Jubilee National Hospital,S92000003
2021 Q2,SB0801,SB0801,Z9,All Specialties,16240,12350,178.4615385,135.7142857,76.04679803,NA,NA,The Golden Jubilee National Hospital,S92000003
2021 Q3,SB0801,D102H,Z9,All Specialties,16931,12063,184.0326087,131.1195652,71.24800662,NA,NA,The Golden Jubilee National Hospital,S92000003
2021 Q3,SB0801,SB0801,Z9,All Specialties,16931,12063,184.0326087,131.1195652,71.24800662,NA,NA,The Golden Jubilee National Hospital,S92000003
2021 Q4,SB0801,D102H,Z9,All Specialties,17796,12615,193.4347826,137.1195652,70.88671612,NA,NA,The Golden Jubilee National Hospital,S92000003
2021 Q4,SB0801,SB0801,Z9,All Specialties,17796,12615,193.4347826,137.1195652,70.88671612,NA,NA,The Golden Jubilee National Hospital,S92000003
2017 Q2,SB0801,D102H,C3,Anaesthetics,8,8,0.087912088,0.087912088,100,NA,NA,The Golden Jubilee National Hospital,S92000003
