"","date","year","month","day","quarter","week","hb","hb_name","simd_quintile","admission_type","number_admissions","average20182019","percent_variation"
"1",2020-01-05,2020,1,5,1,1,"S08000015","NHS Ayrshire and Arran",1,"All",368,396,-7.1
"2",2020-01-05,2020,1,5,1,1,"S08000015","NHS Ayrshire and Arran",2,"All",249,275,-9.5
"3",2020-01-05,2020,1,5,1,1,"S08000015","NHS Ayrshire and Arran",3,"All",167,165.5,0.9
"4",2020-01-05,2020,1,5,1,1,"S08000015","NHS Ayrshire and Arran",4,"All",120,123,-2.4
"5",2020-01-05,2020,1,5,1,1,"S08000015","NHS Ayrshire and Arran",5,"All",78,115,-32.2
"6",2020-01-05,2020,1,5,1,1,"S08000016","NHS Borders",1,"All",22,25.5,-13.7
"7",2020-01-05,2020,1,5,1,1,"S08000016","NHS Borders",2,"All",57,51,11.8
"8",2020-01-05,2020,1,5,1,1,"S08000016","NHS Borders",3,"All",97,101,-4
"9",2020-01-05,2020,1,5,1,1,"S08000016","NHS Borders",4,"All",83,72,15.3
"10",2020-01-05,2020,1,5,1,1,"S08000016","NHS Borders",5,"All",10,16.5,-39.4
"11",2020-01-05,2020,1,5,1,1,"S08000017","NHS Dumfries and Galloway",1,"All",44,47,-6.4
"12",2020-01-05,2020,1,5,1,1,"S08000017","NHS Dumfries and Galloway",2,"All",123,120.5,2.1
"13",2020-01-05,2020,1,5,1,1,"S08000017","NHS Dumfries and Galloway",3,"All",130,141,-7.8
"14",2020-01-05,2020,1,5,1,1,"S08000017","NHS Dumfries and Galloway",4,"All",54,49,10.2
"15",2020-01-05,2020,1,5,1,1,"S08000017","NHS Dumfries and Galloway",5,"All",35,29.5,18.6
"16",2020-01-05,2020,1,5,1,1,"S08000019","NHS Forth Valley",1,"All",183,330.5,-44.6
"17",2020-01-05,2020,1,5,1,1,"S08000019","NHS Forth Valley",2,"All",201,334.5,-39.9
"18",2020-01-05,2020,1,5,1,1,"S08000019","NHS Forth Valley",3,"All",141,308.5,-54.3
"19",2020-01-05,2020,1,5,1,1,"S08000019","NHS Forth Valley",4,"All",124,211.5,-41.4
"20",2020-01-05,2020,1,5,1,1,"S08000019","NHS Forth Valley",5,"All",110,197.5,-44.3
"21",2020-01-05,2020,1,5,1,1,"S08000020","NHS Grampian",1,"All",93,91.5,1.6
"22",2020-01-05,2020,1,5,1,1,"S08000020","NHS Grampian",2,"All",227,226.5,0.2
"23",2020-01-05,2020,1,5,1,1,"S08000020","NHS Grampian",3,"All",281,257.5,9.1
"24",2020-01-05,2020,1,5,1,1,"S08000020","NHS Grampian",4,"All",301,315.5,-4.6
"25",2020-01-05,2020,1,5,1,1,"S08000020","NHS Grampian",5,"All",256,254.5,0.6
"26",2020-01-05,2020,1,5,1,1,"S08000022","NHS Highland",1,"All",91,94.5,-3.7
"27",2020-01-05,2020,1,5,1,1,"S08000022","NHS Highland",2,"All",126,143.5,-12.2
"28",2020-01-05,2020,1,5,1,1,"S08000022","NHS Highland",3,"All",262,242.5,8
"29",2020-01-05,2020,1,5,1,1,"S08000022","NHS Highland",4,"All",207,163,27
"30",2020-01-05,2020,1,5,1,1,"S08000022","NHS Highland",5,"All",39,46,-15.2
"31",2020-01-05,2020,1,5,1,1,"S08000024","NHS Lothian",1,"All",361,332.5,8.6
"32",2020-01-05,2020,1,5,1,1,"S08000024","NHS Lothian",2,"All",557,496.5,12.2
"33",2020-01-05,2020,1,5,1,1,"S08000024","NHS Lothian",3,"All",421,315,33.7
"34",2020-01-05,2020,1,5,1,1,"S08000024","NHS Lothian",4,"All",366,329.5,11.1
"35",2020-01-05,2020,1,5,1,1,"S08000024","NHS Lothian",5,"All",456,393,16
"36",2020-01-05,2020,1,5,1,1,"S08000025","NHS Orkney",3,"All",10,6.5,53.8
"37",2020-01-05,2020,1,5,1,1,"S08000025","NHS Orkney",4,"All",24,22,9.1
"38",2020-01-05,2020,1,5,1,1,"S08000026","NHS Shetland",3,"All",6,15.5,-61.3
"39",2020-01-05,2020,1,5,1,1,"S08000026","NHS Shetland",4,"All",19,18,5.6
"40",2020-01-05,2020,1,5,1,1,"S08000028","NHS Western Isles",2,"All",8,17,-52.9
"41",2020-01-05,2020,1,5,1,1,"S08000028","NHS Western Isles",3,"All",56,64.5,-13.2
"42",2020-01-05,2020,1,5,1,1,"S08000029","NHS Fife",1,"All",243,255,-4.7
"43",2020-01-05,2020,1,5,1,1,"S08000029","NHS Fife",2,"All",222,223,-0.4
"44",2020-01-05,2020,1,5,1,1,"S08000029","NHS Fife",3,"All",176,165,6.7
"45",2020-01-05,2020,1,5,1,1,"S08000029","NHS Fife",4,"All",156,140,11.4
