WeekEnding,HB,HBQF,AgeGroup,AgeGroupQF,Sex,SexQF,Deaths,Average20152019,PercentVariation,PercentVariationQF
20200105,S08000015,"",Under 65,"",All,d,16,14.8,8.1,""
20200105,S08000015,"",65 and over,"",All,d,89,83.2,7,""
20200105,S08000015,"",All ages,d,All,d,105,98,7.1,""
20200105,S08000015,"",All ages,d,Female,"",50,52.2,-4.2,""
20200105,S08000015,"",All ages,d,Male,"",55,45.8,20.1,""
20200105,S08000016,"",Under 65,"",All,d,4,2,100,""
20200105,S08000016,"",65 and over,"",All,d,15,26.8,-44,""
20200105,S08000016,"",All ages,d,All,d,19,28.8,-34,""
20200105,S08000016,"",All ages,d,Female,"",10,15.8,-36.7,""
20200105,S08000016,"",All ages,d,Male,"",9,13,-30.8,""
20200105,S08000017,"",Under 65,"",All,d,1,3.8,-73.7,""
20200105,S08000017,"",65 and over,"",All,d,36,37.8,-4.8,""
20200105,S08000017,"",All ages,d,All,d,37,41.6,-11.1,""
20200105,S08000017,"",All ages,d,Female,"",21,23,-8.7,""
20200105,S08000017,"",All ages,d,Male,"",16,18.6,-14,""
20200105,S08000019,"",Under 65,"",All,d,14,8.6,62.8,""
20200105,S08000019,"",65 and over,"",All,d,62,63.6,-2.5,""
20200105,S08000019,"",All ages,d,All,d,76,72.2,5.3,""
20200105,S08000019,"",All ages,d,Female,"",38,39,-2.6,""
20200105,S08000019,"",All ages,d,Male,"",38,33.2,14.5,""
20200105,S08000020,"",Under 65,"",All,d,20,18,11.1,""
20200105,S08000020,"",65 and over,"",All,d,92,108.4,-15.1,""
20200105,S08000020,"",All ages,d,All,d,112,126.4,-11.4,""
20200105,S08000020,"",All ages,d,Female,"",57,68.2,-16.4,""
20200105,S08000020,"",All ages,d,Male,"",55,58.2,-5.5,""
20200105,S08000022,"",Under 65,"",All,d,6,9.8,-38.8,""
20200105,S08000022,"",65 and over,"",All,d,68,64.8,4.9,""
20200105,S08000022,"",All ages,d,All,d,74,74.6,-0.8,""
20200105,S08000022,"",All ages,d,Female,"",39,39.6,-1.5,""
20200105,S08000022,"",All ages,d,Male,"",35,35,0,""
20200105,S08000024,"",Under 65,"",All,d,28,28.4,-1.4,""
20200105,S08000024,"",65 and over,"",All,d,138,151.6,-9,""
20200105,S08000024,"",All ages,d,All,d,166,180,-7.8,""
